年号,月,ウ,日,グレゴリオ暦,地域,天変地異などの記事,原出典,掲載書誌
昌泰04,0,0,0,9010128,諸国,旱、,日本紀略,日本震災凶饉攷
昌泰04,6,0,29,9010722,京都,雷雨、立陣、,日本紀略後1,新訂増補国史大系
昌泰04,7,0,2,9010823,京都,雷鳴大動、,日本紀略後1,新訂増補国史大系
延喜01,7,0,15,9010905,改元,辛酉革命、,扶桑略記後23,新訂増補国史大系
延喜02,0,0,0,9020216,諸国,霖雨、,扶桑略記,日本震災凶饉攷
延喜02,6,0,8,9020720,京都,又可祈甘雨之由、大臣以外記、伝仰祭主神祇大副…,扶桑略記,大日本史料1-3
延喜02,6,0,10,9020722,京都,因有旱気、南殿願祈諸神、,歴代宸記,増補史料大成1
延喜02,6,0,13,9020725,京都,祈雨奉幣、,日本紀略,大日本史料1-3
延喜02,6,0,13,9020725,京都,為祈甘雨、臨時奉幣諸社、,扶桑略記,大日本史料1-3
延喜02,6,0,13,9020725,京都,祈雨奉幣、,日本紀略後1,新訂増補国史大系
延喜02,6,0,17,9020729,京都,依祈雨、定山陵使、,扶桑略記,大日本史料1-3
延喜02,6,0,17,9020729,京都,祈雨山陵使、,日本紀略後1,新訂増補国史大系
延喜02,8,0,17,9020729,京都,諸卿参入、自去十四日、有霖雨気、仍臨時奉幣諸社、,扶桑略記,大日本史料1-3
延喜03,0,0,0,9030206,甲斐,疫行はる、,北山鈔,日本震災凶饉攷
延喜03,7,0,7,9030807,京都,祈雨十社、,日本紀略後1,新訂増補国史大系
延喜03,7,0,24,9030824,京都,奉祈二社、依止雨也、,日本紀略後1,新訂増補国史大系
延喜03,9,0,4,9031002,京都,依止雨奉幣諸社、,日本紀略,大日本史料1-3
延喜03,9,0,20,9031018,甲斐,賜甲斐国百姓三千百五十三人、復一年、以疫死衰弊也、,北山抄10,大日本史料1-3
延喜04,0,0,0,9040126,諸国,旱、,日本紀略,日本震災凶饉攷
延喜04,3,1,7,9040430,天下,奉幣諸社、為攘天下疾疫之難也、,日本紀略,大日本史料1-3
延喜04,7,0,8,9040826,京都,旱気尤熾、仍仰陰陽寮、於北山十二月谷口、五龍祭、,扶桑略記,大日本史料1-3
